State,Region,Sector,Energy_Source,Month,Year,Total_Consumption_GWh,Renewable,Import_Export,Quantity_GWh
Uttar Pradesh,West,Industrial,Hydro,12,2024,1741,Yes,Export,305
Rajasthan,East,Commercial,Coal,10,2024,4902,Yes,Export,296
Gujarat,Central,Agriculture,Coal,8,2024,1154,No,Export,82
Andhra Pradesh,South,Transport,Coal,1,2023,1320,No,Import,735
Rajasthan,West,Agriculture,Biomass,12,2024,2952,No,Import,532
Tamil Nadu,South,Residential,Hydro,2,2024,4794,No,Export,346
Karnataka,West,Transport,Oil,11,2023,1459,Yes,Export,746
Andhra Pradesh,East,Agriculture,Solar,12,2023,3696,No,Import,327
Tamil Nadu,East,Commercial,Solar,10,2023,1380,Yes,Import,212
Delhi,East,Residential,Coal,6,2024,4773,No,Import,240
Andhra Pradesh,East,Residential,Hydro,1,2024,2104,Yes,Export,913
Delhi,North,Residential,Biomass,10,2024,1003,Yes,Import,572
Gujarat,North,Transport,Coal,3,2024,1892,No,Import,66
Tamil Nadu,Central,Industrial,Nuclear,7,2023,2852,No,Export,653
Karnataka,South,Transport,Oil,12,2024,59,Yes,Import,429
Rajasthan,West,Agriculture,Natural Gas,8,2024,2659,No,Export,924
Madhya Pradesh,West,Industrial,Solar,4,2023,171,Yes,Import,289
Uttar Pradesh,North,Agriculture,Natural Gas,12,2024,4832,No,Import,818
Maharashtra,West,Industrial,Wind,3,2024,2610,No,Import,314
Karnataka,North,Transport,Coal,1,2024,3087,Yes,Import,475
Tamil Nadu,Central,Residential,Nuclear,12,2024,490,Yes,Import,746
Madhya Pradesh,South,Commercial,Solar,9,2023,2799,Yes,Export,183
Karnataka,Central,Residential,Natural Gas,10,2023,640,Yes,Export,813
Tamil Nadu,East,Transport,Oil,6,2023,1418,Yes,Import,275
West Bengal,East,Industrial,Biomass,6,2023,2039,No,Export,256
West Bengal,East,Residential,Hydro,9,2024,1411,No,Import,87
Delhi,Central,Transport,Solar,1,2024,3823,Yes,Import,656
Karnataka,West,Agriculture,Oil,6,2024,2114,No,Import,661
West Bengal,South,Commercial,Natural Gas,12,2023,2465,No,Import,863
Tamil Nadu,East,Residential,Hydro,5,2023,3001,No,Import,262
Delhi,East,Industrial,Natural Gas,11,2023,2818,No,Export,484
Tamil Nadu,East,Agriculture,Hydro,6,2024,3466,No,Export,185
Delhi,South,Transport,Biomass,11,2024,1626,No,Export,430
Karnataka,East,Commercial,Biomass,8,2023,164,Yes,Export,980
Madhya Pradesh,South,Industrial,Coal,5,2023,1418,Yes,Import,941
Rajasthan,East,Transport,Coal,2,2024,188,No,Export,581
Andhra Pradesh,Central,Transport,Solar,12,2024,4973,Yes,Import,470
Madhya Pradesh,Central,Residential,Biomass,12,2024,4991,No,Import,873
Gujarat,South,Residential,Nuclear,2,2023,3423,Yes,Export,263
Tamil Nadu,Central,Industrial,Natural Gas,10,2023,1365,No,Export,529
Gujarat,South,Transport,Natural Gas,5,2023,123,Yes,Import,912
Madhya Pradesh,Central,Residential,Natural Gas,3,2023,3896,No,Import,116
Delhi,Central,Commercial,Solar,10,2024,533,No,Import,180
Andhra Pradesh,South,Commercial,Natural Gas,3,2024,4161,Yes,Export,67
Andhra Pradesh,West,Transport,Wind,8,2024,1599,Yes,Import,346
Maharashtra,Central,Residential,Hydro,7,2023,1409,No,Import,351
Andhra Pradesh,East,Industrial,Natural Gas,1,2024,1946,Yes,Import,951
Rajasthan,West,Industrial,Oil,12,2024,4274,Yes,Import,299
Andhra Pradesh,South,Industrial,Hydro,12,2024,560,Yes,Export,93
Madhya Pradesh,West,Commercial,Coal,5,2024,472,No,Export,126
Maharashtra,North,Residential,Natural Gas,9,2024,2482,No,Import,721
Madhya Pradesh,North,Residential,Oil,4,2023,1956,No,Export,543
Madhya Pradesh,Central,Commercial,Nuclear,1,2024,4377,No,Import,228
Uttar Pradesh,Central,Industrial,Oil,8,2024,1008,No,Export,747
Maharashtra,East,Industrial,Biomass,5,2023,874,No,Export,926
Madhya Pradesh,West,Transport,Biomass,2,2023,114,No,Export,792
Uttar Pradesh,North,Agriculture,Coal,12,2024,4978,Yes,Export,910
Uttar Pradesh,Central,Residential,Wind,1,2024,4760,Yes,Import,111
Maharashtra,West,Residential,Solar,12,2024,3398,No,Import,666
Gujarat,Central,Residential,Solar,12,2024,850,No,Import,465
Delhi,Central,Agriculture,Nuclear,12,2023,327,Yes,Export,668
Rajasthan,North,Transport,Coal,3,2024,1767,Yes,Export,782
Delhi,North,Agriculture,Coal,9,2023,2463,No,Import,800
Andhra Pradesh,Central,Industrial,Wind,1,2024,1288,No,Export,860
Rajasthan,South,Industrial,Natural Gas,4,2024,4573,Yes,Export,535
Andhra Pradesh,Central,Residential,Solar,8,2024,1536,No,Import,275
Madhya Pradesh,Central,Commercial,Natural Gas,8,2023,4731,No,Export,296
Tamil Nadu,East,Residential,Coal,10,2024,3348,No,Import,150
Maharashtra,East,Commercial,Natural Gas,12,2024,4520,No,Export,904
Rajasthan,East,Agriculture,Biomass,11,2023,3045,Yes,Import,415
Rajasthan,South,Industrial,Nuclear,11,2024,142,No,Export,302
Madhya Pradesh,South,Commercial,Solar,8,2023,3581,No,Export,944
Gujarat,Central,Agriculture,Wind,10,2024,1890,No,Export,915
Uttar Pradesh,East,Industrial,Nuclear,8,2023,3577,Yes,Export,40
Madhya Pradesh,South,Commercial,Hydro,4,2023,1671,No,Export,180
West Bengal,North,Residential,Biomass,8,2023,1611,Yes,Import,364
Uttar Pradesh,Central,Residential,Wind,9,2024,1466,Yes,Export,214
Maharashtra,West,Residential,Oil,7,2023,3014,No,Import,487
Uttar Pradesh,Central,Agriculture,Nuclear,12,2023,4240,No,Import,941
Gujarat,West,Residential,Coal,2,2024,1180,No,Import,300
Uttar Pradesh,East,Transport,Hydro,9,2023,1463,No,Export,120
Maharashtra,West,Industrial,Wind,11,2024,3647,No,Import,77
Gujarat,East,Agriculture,Coal,8,2024,3794,No,Export,704
Delhi,North,Residential,Biomass,5,2023,2168,No,Export,382
Rajasthan,West,Industrial,Oil,12,2023,713,Yes,Export,205
Rajasthan,Central,Commercial,Hydro,3,2024,2684,No,Import,135
Andhra Pradesh,East,Residential,Solar,7,2023,2824,No,Export,696
Delhi,Central,Industrial,Oil,2,2023,4019,Yes,Export,271
Delhi,South,Transport,Coal,3,2023,3540,No,Export,896
Uttar Pradesh,East,Commercial,Nuclear,12,2023,1621,No,Import,933
Rajasthan,West,Transport,Natural Gas,9,2024,1573,Yes,Import,807
Maharashtra,East,Industrial,Wind,4,2024,1037,No,Import,164
Karnataka,Central,Transport,Hydro,4,2023,3288,No,Import,590
Karnataka,North,Industrial,Coal,3,2024,3895,Yes,Export,117
Gujarat,East,Industrial,Solar,5,2023,3743,Yes,Import,432
Rajasthan,West,Transport,Natural Gas,3,2023,148,No,Export,44
Rajasthan,South,Industrial,Wind,9,2023,2338,No,Import,880
Karnataka,North,Residential,Wind,3,2023,1564,No,Export,53
Rajasthan,South,Industrial,Coal,2,2024,4347,No,Import,664
Uttar Pradesh,East,Agriculture,Solar,12,2023,683,No,Import,732
West Bengal,Central,Industrial,Biomass,5,2024,4891,No,Import,999
Tamil Nadu,Central,Agriculture,Natural Gas,6,2023,4635,Yes,Export,425
Delhi,West,Industrial,Biomass,1,2024,628,Yes,Export,294
Andhra Pradesh,Central,Industrial,Hydro,12,2024,4009,No,Import,456
Gujarat,North,Transport,Coal,11,2024,322,No,Import,527
West Bengal,Central,Residential,Natural Gas,6,2024,4931,No,Import,739
Karnataka,West,Residential,Hydro,10,2023,4004,No,Import,36
Delhi,East,Commercial,Oil,3,2024,3977,No,Import,236
Rajasthan,East,Transport,Biomass,4,2023,502,No,Import,805
Andhra Pradesh,Central,Transport,Oil,6,2024,1225,No,Export,910
Rajasthan,South,Residential,Oil,8,2024,4961,No,Export,434
Maharashtra,East,Transport,Natural Gas,9,2024,463,No,Export,577
Maharashtra,Central,Residential,Wind,6,2023,1600,No,Export,377
Andhra Pradesh,West,Transport,Hydro,7,2024,4576,Yes,Export,319
Andhra Pradesh,Central,Industrial,Oil,5,2023,1996,No,Export,857
Karnataka,East,Residential,Solar,12,2023,241,No,Import,114
Andhra Pradesh,West,Residential,Nuclear,9,2023,90,Yes,Import,27
Uttar Pradesh,Central,Agriculture,Biomass,4,2024,1909,No,Import,214
Rajasthan,North,Transport,Biomass,10,2024,1382,No,Import,52
West Bengal,West,Transport,Solar,11,2024,3499,Yes,Import,98
Madhya Pradesh,North,Residential,Natural Gas,6,2024,185,No,Export,595
Andhra Pradesh,South,Industrial,Natural Gas,5,2024,4251,Yes,Export,166
Gujarat,West,Industrial,Natural Gas,1,2024,4664,Yes,Export,275
Maharashtra,North,Industrial,Hydro,5,2024,1991,No,Export,143
Uttar Pradesh,East,Transport,Coal,5,2023,1615,No,Export,473
Delhi,East,Agriculture,Oil,9,2024,4271,No,Import,610
Madhya Pradesh,South,Residential,Wind,1,2023,438,No,Export,757
West Bengal,West,Commercial,Nuclear,5,2023,1608,No,Export,141
Madhya Pradesh,West,Agriculture,Coal,7,2024,2171,Yes,Export,750
Andhra Pradesh,West,Commercial,Coal,11,2024,1078,Yes,Import,43
Karnataka,South,Agriculture,Solar,6,2023,3584,No,Import,92
Maharashtra,West,Industrial,Hydro,6,2023,131,Yes,Import,938
Maharashtra,East,Transport,Biomass,12,2024,825,No,Import,141
Delhi,North,Commercial,Biomass,7,2023,3088,No,Import,437
Karnataka,East,Agriculture,Solar,6,2023,4423,No,Import,875
Rajasthan,East,Transport,Hydro,5,2023,2937,Yes,Export,213
Tamil Nadu,North,Commercial,Solar,10,2023,1928,No,Export,808
Uttar Pradesh,East,Residential,Biomass,5,2024,2321,No,Export,345
Maharashtra,South,Agriculture,Coal,9,2024,1657,Yes,Import,971
Gujarat,North,Residential,Wind,8,2023,3189,No,Import,506
Maharashtra,East,Industrial,Oil,12,2023,655,No,Import,451
Madhya Pradesh,Central,Residential,Natural Gas,10,2023,4785,No,Import,837
Maharashtra,East,Residential,Hydro,4,2024,3464,Yes,Export,267
Maharashtra,South,Agriculture,Oil,4,2024,3715,Yes,Import,301
Tamil Nadu,West,Industrial,Nuclear,10,2023,2194,No,Import,975
Tamil Nadu,East,Residential,Nuclear,5,2023,4320,Yes,Import,134
West Bengal,West,Transport,Coal,3,2023,3815,Yes,Import,965
Rajasthan,Central,Commercial,Solar,8,2024,1426,Yes,Import,672
Gujarat,East,Residential,Solar,7,2023,3512,Yes,Export,880
Maharashtra,North,Industrial,Biomass,5,2023,397,Yes,Import,768
Maharashtra,West,Residential,Coal,10,2023,50,Yes,Import,184
Uttar Pradesh,Central,Commercial,Biomass,3,2023,112,No,Export,893
Tamil Nadu,North,Industrial,Biomass,5,2023,1833,No,Import,501
Gujarat,North,Agriculture,Nuclear,3,2024,3864,No,Import,878
Delhi,North,Industrial,Biomass,10,2024,275,No,Export,823
West Bengal,North,Agriculture,Oil,5,2024,1092,No,Export,89
Rajasthan,East,Industrial,Natural Gas,1,2023,894,No,Export,628
Karnataka,East,Commercial,Biomass,6,2024,2730,No,Export,821
Rajasthan,East,Commercial,Nuclear,10,2023,4169,No,Export,924
Madhya Pradesh,Central,Industrial,Natural Gas,4,2024,1284,No,Export,314
Maharashtra,Central,Residential,Solar,4,2024,2034,No,Export,519
West Bengal,Central,Commercial,Hydro,8,2023,4306,No,Export,353
Madhya Pradesh,South,Agriculture,Wind,2,2023,1328,No,Export,579
Gujarat,Central,Agriculture,Biomass,4,2023,1644,Yes,Export,100
Karnataka,East,Transport,Oil,2,2024,2601,Yes,Import,656
Tamil Nadu,East,Agriculture,Natural Gas,1,2023,2002,Yes,Export,871
West Bengal,South,Transport,Hydro,10,2024,1745,Yes,Export,178
West Bengal,South,Industrial,Nuclear,3,2024,1004,Yes,Export,343
Maharashtra,Central,Industrial,Hydro,12,2024,3341,No,Export,643
Andhra Pradesh,West,Industrial,Wind,8,2023,406,No,Export,245
West Bengal,South,Residential,Oil,6,2023,3645,No,Import,408
Uttar Pradesh,North,Residential,Hydro,12,2023,1018,Yes,Import,597
Karnataka,East,Transport,Oil,7,2024,291,No,Import,830
Karnataka,North,Agriculture,Natural Gas,2,2024,3496,No,Export,486
Uttar Pradesh,East,Agriculture,Hydro,6,2023,4284,Yes,Export,544
Delhi,East,Industrial,Oil,8,2024,2194,No,Import,854
Uttar Pradesh,South,Commercial,Hydro,8,2024,196,No,Export,594
Uttar Pradesh,South,Residential,Hydro,4,2024,592,No,Export,97
Karnataka,North,Residential,Coal,6,2023,741,Yes,Import,624
Rajasthan,East,Industrial,Biomass,5,2024,1075,No,Export,615
Karnataka,North,Residential,Nuclear,9,2024,4100,No,Export,970
Andhra Pradesh,West,Industrial,Wind,8,2023,4055,No,Export,837
Maharashtra,North,Transport,Nuclear,2,2023,3409,No,Export,787
Madhya Pradesh,Central,Agriculture,Coal,12,2023,3001,No,Export,262
Rajasthan,North,Commercial,Coal,7,2023,779,No,Export,367
Tamil Nadu,Central,Agriculture,Natural Gas,7,2023,4549,Yes,Export,67
Madhya Pradesh,Central,Agriculture,Coal,11,2023,2605,No,Import,952
Maharashtra,Central,Transport,Biomass,12,2024,1200,Yes,Import,408
Andhra Pradesh,West,Residential,Coal,1,2024,1785,No,Export,530
Andhra Pradesh,North,Commercial,Hydro,1,2024,1088,No,Export,534
Tamil Nadu,North,Residential,Nuclear,12,2024,2962,Yes,Import,928
Rajasthan,West,Agriculture,Solar,4,2023,4890,No,Import,426
Delhi,East,Industrial,Wind,5,2024,2590,No,Import,402
Uttar Pradesh,South,Agriculture,Coal,4,2023,4464,Yes,Import,652
Rajasthan,North,Residential,Nuclear,7,2023,1292,No,Import,231
Delhi,South,Agriculture,Natural Gas,3,2024,822,Yes,Import,338
Andhra Pradesh,West,Industrial,Coal,7,2024,1966,No,Import,381
Karnataka,East,Transport,Biomass,8,2023,3462,Yes,Export,520
Maharashtra,East,Residential,Coal,6,2023,2549,No,Import,162
Tamil Nadu,East,Agriculture,Coal,6,2023,3490,No,Import,902
Maharashtra,West,Residential,Oil,8,2023,3595,No,Import,888
Gujarat,Central,Transport,Oil,8,2024,1263,Yes,Export,993
Gujarat,Central,Agriculture,Coal,7,2023,2981,No,Export,489
Rajasthan,South,Agriculture,Natural Gas,6,2024,468,No,Export,592
Andhra Pradesh,Central,Residential,Oil,6,2023,3831,Yes,Import,941
Andhra Pradesh,Central,Residential,Coal,10,2023,838,No,Import,866
Uttar Pradesh,East,Industrial,Wind,11,2023,1921,Yes,Import,29
Uttar Pradesh,East,Transport,Nuclear,6,2024,4640,No,Export,602
Uttar Pradesh,South,Industrial,Oil,8,2023,2075,No,Export,959
Karnataka,North,Agriculture,Oil,1,2024,2496,No,Export,237
Madhya Pradesh,South,Residential,Biomass,5,2024,4873,No,Export,355
West Bengal,South,Agriculture,Coal,3,2024,610,No,Export,28
Madhya Pradesh,West,Agriculture,Coal,12,2023,2701,Yes,Export,453
Maharashtra,West,Commercial,Coal,8,2024,3954,No,Import,686
Madhya Pradesh,South,Commercial,Coal,11,2024,589,No,Export,377
Karnataka,South,Agriculture,Oil,6,2023,4805,No,Export,908
Maharashtra,South,Residential,Hydro,2,2023,3186,No,Export,628
Madhya Pradesh,Central,Agriculture,Hydro,7,2024,3339,Yes,Export,898
Karnataka,West,Commercial,Solar,7,2024,2660,No,Import,869
West Bengal,South,Residential,Coal,5,2023,4962,Yes,Import,735
Madhya Pradesh,East,Agriculture,Solar,8,2024,1994,Yes,Export,760
Karnataka,East,Transport,Wind,5,2024,3195,No,Import,156
Uttar Pradesh,Central,Transport,Solar,1,2024,2808,Yes,Import,702
Andhra Pradesh,Central,Agriculture,Nuclear,9,2023,3310,Yes,Import,513
Uttar Pradesh,North,Residential,Hydro,4,2024,4157,No,Import,439
Andhra Pradesh,North,Agriculture,Hydro,2,2023,1945,Yes,Import,857
Tamil Nadu,North,Agriculture,Coal,4,2023,2550,Yes,Import,449
Tamil Nadu,Central,Commercial,Oil,9,2023,2879,Yes,Import,207
Tamil Nadu,Central,Transport,Coal,2,2024,3923,Yes,Export,296
West Bengal,Central,Commercial,Wind,4,2023,97,No,Import,574
Uttar Pradesh,East,Commercial,Biomass,2,2024,2414,No,Export,378
Andhra Pradesh,Central,Agriculture,Wind,5,2023,2306,No,Import,249
Karnataka,East,Commercial,Nuclear,3,2024,4722,No,Import,811
Maharashtra,North,Transport,Coal,10,2024,803,Yes,Import,296
Karnataka,North,Commercial,Coal,2,2024,2852,Yes,Export,709
Maharashtra,North,Transport,Wind,9,2023,4699,Yes,Import,404
Gujarat,South,Commercial,Wind,5,2024,3702,No,Export,527
Karnataka,South,Transport,Wind,10,2024,452,No,Import,804
Madhya Pradesh,West,Commercial,Hydro,5,2023,2136,No,Import,784
Madhya Pradesh,West,Commercial,Solar,1,2023,2277,Yes,Export,570
Rajasthan,West,Residential,Solar,6,2024,3460,Yes,Import,873
Uttar Pradesh,South,Transport,Coal,7,2023,3040,No,Import,721
Maharashtra,South,Transport,Hydro,1,2023,4693,Yes,Import,69
Maharashtra,West,Transport,Wind,9,2023,1199,No,Export,554
Uttar Pradesh,West,Industrial,Coal,8,2024,112,No,Import,312
West Bengal,Central,Commercial,Hydro,12,2023,4989,No,Import,253
Rajasthan,West,Transport,Nuclear,8,2024,3203,No,Import,693
West Bengal,Central,Industrial,Biomass,7,2023,1058,No,Export,216
West Bengal,East,Residential,Hydro,5,2023,2081,No,Import,384
West Bengal,South,Transport,Natural Gas,3,2024,1372,No,Export,292
Uttar Pradesh,West,Transport,Coal,12,2023,2131,Yes,Import,487
West Bengal,South,Industrial,Oil,9,2023,801,No,Import,31
Madhya Pradesh,South,Commercial,Solar,7,2023,4194,No,Export,568
Tamil Nadu,South,Residential,Natural Gas,11,2023,707,Yes,Export,358
Gujarat,East,Transport,Wind,10,2024,1710,No,Export,498
Maharashtra,North,Commercial,Biomass,10,2024,750,Yes,Export,953
Maharashtra,West,Residential,Oil,8,2024,1130,No,Export,679
Gujarat,North,Agriculture,Nuclear,6,2024,2206,No,Import,267
Uttar Pradesh,North,Agriculture,Oil,12,2024,1590,Yes,Import,664
Karnataka,North,Residential,Biomass,11,2024,3082,Yes,Export,56
Uttar Pradesh,South,Industrial,Oil,5,2024,2033,No,Import,36
Maharashtra,Central,Residential,Biomass,8,2023,364,No,Import,976
Maharashtra,South,Residential,Hydro,3,2024,3131,No,Export,36
Gujarat,South,Industrial,Coal,12,2024,4783,Yes,Export,990
West Bengal,North,Industrial,Oil,7,2024,2364,No,Export,406
Uttar Pradesh,South,Commercial,Oil,2,2023,2185,No,Import,960
Andhra Pradesh,North,Commercial,Coal,3,2024,1699,Yes,Export,154
Gujarat,Central,Industrial,Biomass,12,2024,3269,Yes,Import,596
Madhya Pradesh,West,Agriculture,Wind,2,2024,3850,Yes,Export,708
Maharashtra,North,Agriculture,Coal,5,2023,2528,Yes,Export,531
Gujarat,Central,Residential,Biomass,7,2024,4117,No,Export,130
Uttar Pradesh,West,Transport,Coal,11,2023,1825,Yes,Export,810
Maharashtra,East,Residential,Wind,10,2023,2016,No,Import,471
Karnataka,North,Residential,Nuclear,11,2023,1817,No,Import,686
Gujarat,North,Transport,Natural Gas,11,2023,3865,Yes,Import,391
Rajasthan,East,Industrial,Biomass,11,2024,291,No,Export,785
Maharashtra,East,Agriculture,Solar,10,2023,4847,Yes,Import,682
Uttar Pradesh,North,Residential,Solar,1,2023,2999,No,Import,912
Tamil Nadu,East,Transport,Biomass,10,2024,4886,Yes,Import,427
Andhra Pradesh,South,Commercial,Hydro,9,2023,4926,No,Export,336
Delhi,West,Residential,Nuclear,1,2023,2306,No,Import,400
West Bengal,West,Agriculture,Hydro,1,2023,4161,No,Export,306
Delhi,West,Industrial,Natural Gas,12,2023,3418,No,Export,639
Uttar Pradesh,South,Residential,Solar,10,2023,416,No,Import,832
Madhya Pradesh,East,Residential,Wind,8,2023,2877,Yes,Import,784
Madhya Pradesh,Central,Transport,Biomass,6,2024,1302,No,Export,93
Tamil Nadu,East,Commercial,Natural Gas,6,2024,2537,No,Export,155
West Bengal,North,Commercial,Oil,12,2024,4835,No,Export,180
Rajasthan,West,Industrial,Oil,9,2024,3653,Yes,Import,343
Tamil Nadu,East,Agriculture,Coal,4,2023,3571,Yes,Export,433
Delhi,Central,Industrial,Solar,8,2023,4992,No,Export,318
Tamil Nadu,North,Residential,Nuclear,4,2023,4567,No,Export,535
Delhi,South,Residential,Solar,2,2024,1693,Yes,Import,670
Maharashtra,South,Commercial,Nuclear,11,2024,1262,No,Export,890
Madhya Pradesh,Central,Agriculture,Nuclear,8,2023,4753,No,Export,772
Maharashtra,North,Transport,Biomass,12,2023,69,No,Export,578
Andhra Pradesh,West,Agriculture,Nuclear,7,2024,725,No,Export,356
West Bengal,East,Residential,Hydro,4,2024,4527,Yes,Export,311
Rajasthan,North,Transport,Oil,9,2024,658,Yes,Import,931
Delhi,South,Agriculture,Natural Gas,9,2024,111,Yes,Import,356
Rajasthan,Central,Agriculture,Wind,8,2023,1315,No,Export,417
Delhi,Central,Transport,Solar,1,2024,2335,No,Export,142
Uttar Pradesh,East,Residential,Wind,7,2024,1204,Yes,Export,691
Tamil Nadu,Central,Agriculture,Natural Gas,5,2023,1678,No,Export,623
Andhra Pradesh,Central,Transport,Coal,7,2023,1676,No,Export,997
Madhya Pradesh,North,Residential,Natural Gas,12,2023,3766,Yes,Export,115
Delhi,West,Transport,Solar,9,2024,1492,Yes,Import,180
Rajasthan,East,Transport,Oil,2,2024,1703,No,Export,649
Andhra Pradesh,North,Agriculture,Wind,11,2024,2552,Yes,Export,259
Karnataka,West,Residential,Wind,4,2024,3319,No,Import,553
Karnataka,North,Agriculture,Biomass,4,2023,331,No,Import,737
Maharashtra,North,Industrial,Biomass,2,2023,1074,No,Import,271
Madhya Pradesh,Central,Industrial,Natural Gas,3,2024,4868,No,Import,851
Uttar Pradesh,West,Residential,Natural Gas,11,2024,3453,No,Export,503
Rajasthan,East,Transport,Coal,8,2024,1285,No,Import,253
Tamil Nadu,East,Agriculture,Nuclear,12,2023,4232,No,Import,460
Tamil Nadu,West,Agriculture,Solar,9,2024,4810,No,Import,912
Rajasthan,Central,Residential,Biomass,6,2023,835,Yes,Export,806
West Bengal,South,Residential,Solar,10,2024,3367,Yes,Export,299
Uttar Pradesh,North,Industrial,Coal,2,2023,1717,No,Export,272
Andhra Pradesh,Central,Commercial,Biomass,2,2023,3058,No,Import,858
Delhi,West,Residential,Biomass,7,2024,3244,Yes,Export,854
West Bengal,North,Commercial,Nuclear,8,2023,4839,Yes,Import,323
Delhi,East,Residential,Solar,8,2023,3825,No,Import,94
Delhi,South,Transport,Oil,6,2024,2496,Yes,Import,424
West Bengal,East,Transport,Solar,10,2023,3840,No,Import,338
Maharashtra,West,Industrial,Solar,8,2024,583,No,Export,54
Karnataka,North,Industrial,Nuclear,1,2023,451,No,Export,824
Delhi,West,Commercial,Biomass,9,2023,3713,Yes,Export,342
West Bengal,North,Residential,Coal,12,2023,179,Yes,Export,474
West Bengal,Central,Agriculture,Solar,1,2023,2389,Yes,Import,209
Gujarat,South,Industrial,Wind,3,2024,4421,Yes,Import,210
Maharashtra,Central,Agriculture,Oil,12,2024,3009,No,Import,338
Madhya Pradesh,Central,Agriculture,Oil,9,2024,1908,No,Import,689
Gujarat,West,Residential,Nuclear,11,2023,3023,Yes,Import,249
Gujarat,South,Commercial,Hydro,5,2023,4200,Yes,Export,893
Rajasthan,North,Residential,Coal,9,2024,3699,Yes,Export,807
Karnataka,North,Industrial,Wind,9,2024,2836,No,Import,711
West Bengal,East,Agriculture,Solar,6,2024,3147,No,Import,592
Karnataka,North,Residential,Hydro,11,2024,3562,No,Export,666
Uttar Pradesh,West,Residential,Coal,1,2023,4910,No,Export,368
Rajasthan,Central,Residential,Nuclear,10,2024,1270,No,Import,910
Madhya Pradesh,Central,Industrial,Hydro,7,2023,691,No,Export,730
Karnataka,Central,Commercial,Biomass,6,2024,3364,Yes,Export,369
Tamil Nadu,South,Residential,Natural Gas,9,2023,773,No,Import,387
Delhi,North,Industrial,Hydro,7,2024,4947,Yes,Import,394
Uttar Pradesh,West,Agriculture,Natural Gas,12,2024,787,No,Export,729
Maharashtra,South,Transport,Oil,11,2023,4903,Yes,Export,474
Madhya Pradesh,East,Industrial,Wind,12,2023,1349,No,Import,231
Uttar Pradesh,West,Transport,Coal,4,2024,3530,Yes,Export,808
Delhi,West,Residential,Wind,7,2023,389,No,Export,684
Rajasthan,West,Residential,Wind,2,2024,202,Yes,Export,374
Delhi,Central,Industrial,Solar,6,2023,1471,No,Import,81
Gujarat,West,Transport,Nuclear,6,2024,3101,No,Export,249
Delhi,North,Residential,Hydro,2,2024,476,Yes,Export,513
Gujarat,West,Agriculture,Coal,4,2024,3608,No,Import,423
Rajasthan,Central,Commercial,Oil,8,2024,1185,No,Import,136
Andhra Pradesh,West,Commercial,Biomass,8,2024,2422,Yes,Export,496
Gujarat,East,Residential,Nuclear,8,2024,3379,No,Import,606
Maharashtra,East,Transport,Nuclear,8,2024,999,No,Import,536
Delhi,Central,Residential,Coal,1,2024,1423,No,Export,257
Delhi,North,Transport,Nuclear,2,2023,1006,Yes,Import,491
Maharashtra,North,Agriculture,Solar,12,2023,1751,No,Export,321
Tamil Nadu,South,Transport,Nuclear,4,2023,2991,No,Export,453
